dtype,hidden,rows,eager_us,compile_us,triton_us,triton_num_warps,min_bytes,eager_gbps,compile_gbps,triton_gbps,speedup_vs_eager,speedup_vs_compile,eager_kernels,compile_kernels,triton_kernels,triton_max_abs_err,eager_max_abs_err,triton_pct_peak
fp16,4096,1,181.5040037035942,128.12800705432892,89.55199643969536,1,24576,0.13540197184924874,0.1918081812478303,0.27443274273119717,2.0268001934029427,1.430766617700263,8,1,1,0.002758026123046875,0.002758026123046875,0.01764840789268149
fp16,4096,8,180.67200481891632,132.73600488901138,89.83999863266945,16,139264,0.7708111732062825,1.0491802892248192,1.5501335943849623,2.0110419364278207,1.477471136567262,8,1,1,0.004467964172363281,0.004467964172363281,0.09968704787041557
fp16,4096,64,182.70400166511536,132.7359974384308,88.22400122880936,2,1056768,5.7840440842504774,7.961427347469767,11.978237047527092,2.070910399895281,1.5045338636838672,8,1,1,0.0062885284423828125,0.0062885284423828125,0.7703046332814849
fp16,4096,512,180.11199682950974,132.48000293970108,88.95999938249588,8,8396800,46.619881783600654,63.38164110565308,94.38848986381836,2.024640266184054,1.489208676475872,8,1,1,0.006918907165527344,0.006918907165527344,6.0699993481555214
fp16,4096,4096,543.5679852962494,173.0240061879158,100.5759984254837,8,67117056,123.4749981889029,387.9060338431092,667.3267683216361,5.4045497316039715,1.7203309825068105,8,1,1,0.008230209350585938,0.008230209350585938,42.91490471521775
fp16,4096,16384,1978.2400131225586,394.28800344467163,246.23999744653702,16,268443648,135.69821974042188,680.8313863337444,1090.170771538786,8.033788310739684,1.6012345984948217,8,1,1,0.008711814880371094,0.008711814880371094,70.10744511503448
bf16,1024,1,180.2080050110817,129.69599664211273,90.83199873566628,4,6144,0.0340939349482404,0.04737231802885905,0.06764136081470466,1.9839704896895642,1.4278668139797968,8,1,1,0.020778179168701172,0.020778179168701172,0.004349926740495477
bf16,1024,8,183.55200439691544,137.35999912023544,89.82399851083755,4,34816,0.18967921442423147,0.2534653481580506,0.38760242894107344,2.04346285447056,1.5292126981372636,8,1,1,0.02631664276123047,0.02631664276123047,0.024926201218075462
bf16,1024,64,184.736005961895,137.63199746608734,90.63999727368355,16,264192,1.430105618146222,1.9195536275283456,2.9147397169737737,2.038128988509263,1.5184466196585762,8,1,1,0.04430961608886719,0.04430961608886719,0.18744306861567675
bf16,1024,512,185.7760027050972,135.42400300502777,90.04800021648407,8,2099200,11.299629496993173,15.500944835621679,23.312011315668542,2.0630774948746646,1.5039090560529431,8,1,1,0.041011810302734375,0.041011810302734375,1.49916471483399
bf16,1024,4096,186.09600514173508,136.27199828624725,90.33600240945816,2,16779264,90.16455773578008,123.13068136532483,185.74282182585506,2.0600425099423134,1.5085015348429853,8,1,1,0.053427696228027344,0.053427696228027344,11.944876001662704
bf16,1024,16384,583.439975976944,166.03200137615204,102.06400230526924,2,67110912,115.02624908008026,404.2046800842784,657.5375302182841,5.716412866427665,1.6267439805031076,8,1,1,0.06592655181884766,0.06592655181884766,42.285371718217625
bf16,2048,1,185.60000509023666,133.58400017023087,90.14400094747543,1,12288,0.06620689473594416,0.09198706420185773,0.13631522753421935,2.0589279723492746,1.4818956199655127,8,1,1,0.02111053466796875,0.02111053466796875,0.008766252574547868
bf16,2048,8,184.2079982161522,134.2879980802536,89.64799717068672,8,69632,0.3780074734773072,0.51852735162815,0.7767267780385885,2.054792120625143,1.497947553971271,8,1,1,0.04284858703613281,0.04284858703613281,0.049950275115021765
bf16,2048,64,186.0319972038269,136.23999804258347,89.45600315928459,8,528384,2.8402855849635014,3.878332410389841,5.9066354558582725,2.079592097051105,1.5229832904561553,8,1,1,0.03693246841430664,0.03693246841430664,0.3798479392834902
bf16,2048,512,184.04799699783325,135.3279948234558,89.6959975361824,16,4198400,22.81144086588145,31.023883901310192,46.8069937937466,2.05190869217537,1.5087406187646883,8,1,1,0.04728507995605469,0.04728507995605469,3.0100960639065337
bf16,2048,4096,289.39199447631836,136.1280009150505,89.56800028681755,1,33558528,115.96218499660735,246.52186012003443,374.670952712328,3.230975276322101,1.5198285155316298,8,1,1,0.05128955841064453,0.05128955841064453,24.094595029731703
bf16,2048,16384,1024.9919891357422,226.1440008878708,148.6080065369606,8,134221824,130.94914440567857,593.5236993819321,903.1937587199745,6.89728644520115,1.521748431714721,8,1,1,0.06182384490966797,0.06182384490966797,58.08319991768325
bf16,4096,1,183.45600366592407,131.02400302886963,89.50400352478027,4,24576,0.1339612741415279,0.18756868536969493,0.27457989622995843,2.049696063206067,1.4638898582072257,8,1,1,0.032217979431152344,0.032217979431152344,0.017657871140190254
bf16,4096,8,185.35999953746796,136.3999992609024,90.06400033831596,2,139264,0.7513163592334262,1.0209970729810594,1.546278196358916,2.0580920105833913,1.5144785791051933,8,1,1,0.035164833068847656,0.035164833068847656,0.0994391123060396
bf16,4096,64,184.09600108861923,132.62400031089783,88.92799913883209,4,1056768,5.74030936984502,7.968150542305461,11.883411414105934,2.0701691578735884,1.4913638178662794,8,1,1,0.03998374938964844,0.03998374938964844,0.7642065218074555
bf16,4096,512,180.57600408792496,130.0799995660782,88.19200098514557,8,8396800,46.500087552671076,64.55104572578495,95.21044886388616,2.0475326795038917,1.4749636941335296,8,1,1,0.05072498321533203,0.05072498321533203,6.122858447838338
bf16,4096,4096,546.6080009937286,168.39999705553055,100.3359965980053,4,67117056,122.78827949459536,398.5573466362229,668.9230014717799,5.447775669022411,1.6783607355814951,8,1,1,0.07765865325927734,0.07765865325927734,43.017556364744685
bf16,4096,16384,1982.9599857330322,353.2959967851639,251.47199630737305,16,268443648,135.3752218559093,759.8264640491757,1067.4892311742044,7.8854107608438015,1.4049118867030101,8,1,1,0.06526660919189453,0.06526660919189453,68.6488251558974
