t_rel_s,power_w,gpu_util_pct,mem_util_pct,mem_used_mb
81.7393147979999,52.334,29,25,2994.1875
81.9492110629999,59.407,29,25,2994.1875
82.1572906240001,59.122,33,28,2994.1875
82.36329630499995,60.623,33,28,2994.1875
82.57131591500001,57.674,34,29,2994.1875
82.77964726599998,53.479,32,28,2994.1875
82.99021311699994,60.758,31,27,2994.1875
83.19720527699997,52.924,33,29,2994.1875
83.40933591199996,48.266,34,28,2994.1875
83.61733613599995,48.069,35,29,2994.1875
83.82553531000008,48.885,31,26,2994.1875
84.0333455760001,47.859,35,29,2994.1875
84.24237120599992,46.972,32,26,2994.1875
84.45121675299993,44.41,30,24,2994.1875
84.65570006100006,44.311,29,23,2994.1875
84.86031207199994,43.377,39,31,2994.1875
85.06470138500003,49.505,46,36,2994.1875
85.26927556700002,55.315,44,37,2994.1875
85.47691681600008,62.551,43,37,2994.1875
85.68120620800005,61.886,43,37,2994.1875
85.88558519399999,63.515,41,35,2994.1875
86.08977146300003,64.418,41,35,2994.1875
86.2941486069999,62.829,44,38,2994.1875
86.49930707599992,53.774,47,39,2994.1875
86.71051897500001,59.113,44,37,2994.1875
86.91494156399995,61.803,41,36,2994.1875
87.11919759300008,62.491,40,35,2994.1875
87.324092114,63.021,40,35,2994.1875
87.52790574200003,60.292,46,38,2994.1875
87.73208763899993,60.966,42,37,2994.1875
87.93644233700002,57.604,41,36,2994.1875
88.14062537900008,62.731,39,34,2994.1875
88.3447391059999,62.551,42,37,2994.1875
88.54887049600006,63.298,42,36,2994.1875
88.75315704400009,60.623,43,37,2994.1875
88.95745870199994,58.559,41,36,2994.1875
89.161798052,65.007,40,35,2994.1875
89.366064156,63.162,43,37,2994.1875
89.57042157199999,62.317,41,36,2994.1875
89.77620415899992,64.791,42,36,2994.1875
89.98175466499993,63.691,40,34,2994.1875
90.185999047,61.297,39,34,2994.1875
90.39021525499993,62.829,43,37,2994.1875
90.59465577800006,64.712,43,37,2994.1875
90.79956737399993,61.984,44,37,2994.1875
91.0037897740001,62.241,41,35,2994.1875
91.20808407899995,64.673,40,34,2994.1875
91.41227621500002,64.221,44,38,2994.1875
91.61658430500006,64.358,43,37,2994.1875
91.82336717900012,63.593,42,36,2994.1875
92.02751600500005,51.61,45,37,2994.1875
92.23326607900003,61.372,43,37,2994.1875
92.4374817989999,61.69,42,37,2994.1875
92.64191813499997,64.064,42,37,2994.1875
92.84734591400002,61.433,41,36,2994.1875
93.0522504170001,63.809,42,36,2994.1875
93.26242506199992,64.457,41,35,2994.1875
93.46668397400003,62.241,43,37,2994.1875
93.67077014200004,53.873,45,38,2994.1875
93.87765530699994,60.353,41,35,2994.1875
94.08223166700009,62.377,41,36,2994.1875
94.29245147699999,63.063,39,34,2994.1875
94.49660927700006,62.158,41,36,2994.1875
94.70089456400001,62.437,41,36,2994.1875
94.90841769200006,52.958,26,22,2994.1875
95.11533281900006,58.13,33,29,2994.1875
95.32221226299998,54.692,29,25,2994.1875
95.53430036300006,57.765,33,29,2994.1875
95.74636474599993,57.674,35,30,2994.1875
95.95222890500008,55.84,29,25,2994.1875
96.16021263500011,56.498,30,26,2994.1875
96.36624018399993,59.666,30,26,2994.1875
96.57822678299999,50.657,33,29,2994.1875
96.7872143080001,49.869,34,28,2994.1875
96.99320592699996,49.21,35,29,2994.1875
97.19959747600001,44.751,37,30,2994.1875
