t_s,batch,n_prefill,prefilling,prefill_tokens,prefill_ms,decode_ms,gather_ms,iteration_ms,padding_waste,context_max,waiting,preempted,kv_blocks_used,kv_slot_utilization,wasted_decode_tokens
19.15853,32,0,0,0,0.0,57.7655520000917,16.01729300000443,57.821648999834,0.3631970117067159,1623,7,0,2082,0.993786023054755,0
19.21527,32,0,0,0,0.0,56.660930999896664,15.938737999931618,56.730658000105905,0.362973368226601,1624,7,0,1998,0.9926801801801802,0
19.29941,32,1,0,1276,27.49173600022914,56.55679699975735,16.156497000338277,84.13931699988098,0.3651923076923077,1625,6,0,2078,0.9938041385948027,0
19.35588,32,0,0,0,0.0,56.40762099983476,16.089696000108233,56.45355200022095,0.36496771217712176,1626,6,0,2080,0.9938100961538462,0
19.41281,32,0,0,0,0.0,56.874870999763516,16.008079000130238,56.923879999885685,0.3647433927473879,1627,6,0,2082,0.9938160422670509,0
19.46938,32,0,0,0,0.0,56.50837200028036,16.00939299987658,56.56748499995956,0.3645193488943489,1628,6,0,2014,0.9937003475670307,0
19.5517,32,1,0,552,26.169065999965824,56.0653050001747,15.844802999708918,82.31127799990645,0.3751342848373235,1629,5,0,2056,0.9911539396887159,0
19.60951,32,0,0,0,0.0,57.73998299991945,15.916724000362592,57.81625300005544,0.3749041411042945,1630,5,0,1966,0.9907807731434385,0
19.69466,32,1,0,1313,26.89558699967165,58.15371500011679,15.90372100008608,85.12988900019991,0.3777015634580012,1631,4,0,2049,0.9916727672035139,0
19.75185,32,0,0,0,0.0,57.13366200006931,15.974049999840645,57.1822360002443,0.37747012867647056,1632,4,0,2052,0.99119761208577,0
19.80867,32,0,0,0,0.0,56.761976999951,16.017897999972774,56.80953499995667,0.3772389773423147,1633,4,0,2052,0.9921722709551657,0
19.86572,32,0,0,0,0.0,56.9765179998285,15.990018000138662,57.04254799957198,0.3770081089351285,1634,4,0,1982,0.9917066094853683,0
19.9491,32,1,0,665,26.162499000292883,57.13364900020679,15.71900299995832,83.37480799991681,0.38620030581039755,1635,3,0,2024,0.9926506916996047,0
20.00614,32,0,0,0,0.0,56.985832000009395,15.853949999836914,57.03656800005774,0.38596424205378976,1636,3,0,2024,0.9936388339920948,0
20.06315,32,0,0,0,0.0,56.95588400021734,15.946388999964256,57.00797800000146,0.3857284667073916,1637,3,0,2026,0.9936451135241856,0
20.12126,32,0,0,0,0.0,58.04152900009285,15.92102899985548,58.093481000014435,0.3854929792429792,1638,3,0,2028,0.9936513806706114,0
20.17981,32,0,0,0,0.0,58.490887000061775,15.961742999934359,58.54298199983532,0.38525777913361803,1639,3,0,2030,0.9936576354679802,0
20.237,32,0,0,0,0.0,57.13734100027068,15.945939000175713,57.18728000010742,0.3850228658536585,1640,3,0,2034,0.9926868239921337,0
20.29363,32,0,0,0,0.0,56.571910999991815,15.830769000331202,56.61845799977527,0.3847882388787325,1641,3,0,2034,0.9936701081612586,0
20.35069,32,0,0,0,0.0,57.002390999969066,15.974812999957066,57.05215399984809,0.3845538976857491,1642,3,0,2037,0.9931885125184094,0
20.40838,32,0,0,0,0.0,57.6188430000002,15.983022000000346,57.68726100041022,0.384319841752891,1643,3,0,1936,0.9929622933884298,0
20.4892,32,1,0,1360,27.009906999865052,53.70788600021115,15.410723000059079,80.80514299990682,0.32593183344526533,1489,2,0,2024,0.992774209486166,0
20.54286,32,0,0,0,0.0,53.60611600008269,15.391831000215461,53.6559719998877,0.32571308724832215,1490,2,0,2030,0.9908251231527093,0
