t_s,batch,n_prefill,prefilling,prefill_tokens,prefill_ms,decode_ms,gather_ms,iteration_ms,padding_waste,context_max,waiting,preempted,kv_blocks_used,kv_slot_utilization,wasted_decode_tokens
27.66371,14,1,2,256,29.09977599983904,37.507754000216664,7.405107000067801,66.67297000012695,0.33615587726486384,1569,0,0,1045,0.9188995215311004,0
27.7592,15,0,1,256,56.675668000025325,38.7539199996354,7.762815999740269,95.48066599973026,0.34127388535031844,1570,0,0,1047,0.933321394460363,0
27.82747,15,0,1,256,29.843064000033337,38.373871999738185,7.740563999959704,68.25950800021019,0.34105665181413114,1571,0,0,1047,0.9494985673352435,0
27.89534,15,0,1,256,29.759318999822426,38.06537999980719,7.722935999936453,67.87035100023786,0.34083969465648856,1572,0,0,1047,0.9656757402101241,0
27.96403,15,0,1,256,29.94352300038372,38.68314500004999,8.031548999952065,68.67651099992145,0.3406230133502861,1573,0,0,1049,0.9799809342230696,0
28.03371,16,0,0,201,30.471442000362003,39.15710899991609,8.165505999841116,69.67723300022044,0.33890565438373565,1574,0,0,1050,0.9919642857142857,0
28.07242,16,0,0,0,0.000276999799098121,38.66529100014304,8.27752099985446,38.703882999925554,0.3386904761904762,1575,0,0,1050,0.9929166666666667,0
28.11158,16,0,0,0,0.000279999767371919,39.11379500004841,8.249942000020383,39.15954500007501,0.3384755710659898,1576,0,0,1051,0.9929234062797336,0
28.17552,16,1,1,256,26.051812999867252,37.8044230001251,8.155153000188875,63.92698800027574,0.3382609384908053,1577,0,0,1144,0.9270651223776224,0
28.2426,16,0,1,256,28.059171000222705,38.95945199974449,8.18022400017071,67.07102600012149,0.33804657794676807,1578,0,0,1066,0.9384967166979362,0
28.30894,15,0,1,256,28.99138899965692,37.30524200000218,7.59435999998459,66.33494300012899,0.34578847371754273,1579,0,0,1067,0.9534910965323337,0
28.37434,15,0,1,256,28.500864999841724,36.85143800021251,7.529812000029779,65.38892999969903,0.3455696202531645,1580,0,0,1067,0.9693650421743205,0
