t_s,batch,n_prefill,prefill_tokens,prefill_ms,decode_ms,gather_ms,iteration_ms,padding_waste,context_max,waiting,preempted,kv_blocks_used,kv_slot_utilization,wasted_decode_tokens
5.17297,13,0,0,0.0,31.106578999697376,1.9217520002712263,31.12852699996438,0.2236074270557029,290,0,0,191,0.9620418848167539,0
5.23001,14,1,72,25.68438700018305,31.30601900011243,1.9925679998777923,57.036009000057675,0.26067746686303384,291,0,0,183,0.9668715846994536,0
5.2613,13,0,0,0.0,31.261371000255167,1.8915099999503582,31.285973000194645,0.25421496311907266,292,0,0,184,0.9660326086956522,0
5.29265,13,0,0,0.0,31.32385900016743,1.927836000049865,31.34882499989544,0.2533473352585981,293,0,0,185,0.9652027027027027,0
5.32392,13,0,0,0.0,31.236251999871456,1.91266199999518,31.258098000307655,0.2524856096284668,294,0,0,185,0.9695945945945946,0
5.35436,13,0,0,0.0,30.412677000185795,1.8974119998347305,30.436121999628085,0.25162972620599744,295,0,0,186,0.96875,0
5.38547,13,0,0,0.0,31.051162000039767,1.9020090003323276,31.10097999979189,0.25077962577962576,296,0,0,173,0.9732658959537572,0
5.41633,12,0,0,0.0,30.83298699993975,1.8092459999934363,30.86185700021815,0.24410774410774416,297,0,0,162,0.9768518518518519,0
5.44603,11,0,0,0.0,29.659909999736556,1.672581000093487,29.689029999644845,0.2275777913361806,298,0,0,145,0.9672413793103448,0
5.47547,10,0,0,0.0,29.41510999971797,1.5039849999993748,29.436293999879126,0.22352941176470587,289,0,0,146,0.9648972602739726,0
5.50503,10,0,0,0.0,29.53184899979533,1.5219660003822355,29.550943999765877,0.22275862068965513,290,0,0,146,0.9691780821917808,0
5.53456,10,0,0,0.0,29.513256999962323,1.519224999810831,29.534747000070638,0.2219931271477663,291,0,0,147,0.9668367346938775,0
5.56398,10,0,0,0.0,29.3897870001274,1.5130259998841211,29.408995999801846,0.22123287671232872,292,0,0,147,0.9710884353741497,0
5.59329,10,0,0,0.0,29.28943300003084,1.5206459997898492,29.311426999811374,0.22047781569965874,293,0,0,149,0.962248322147651,0
5.62276,10,0,0,0.0,29.44420900030309,1.52232600021307,29.46515099984026,0.21972789115646263,294,0,0,150,0.96,0
5.65198,10,0,0,0.0,29.18938299990259,1.5273849999175582,29.216256999916368,0.21898305084745762,295,0,0,131,0.9627862595419847,0
5.68198,9,0,0,0.0,29.944539000098302,1.4025209998180799,29.973809999773948,0.2294768995799924,291,0,0,96,0.9635416666666666,0
5.71185,7,0,0,0.0,29.852478000066185,1.1495909998302523,29.870582000057766,0.23395445134575565,276,0,0,96,0.9680989583333334,0
5.74186,7,0,0,0.0,29.98807299991313,1.150731000052474,30.00775500004238,0.2331098504383703,277,0,0,96,0.97265625,0
5.7727,7,0,0,0.0,30.810491000011098,1.1820429999715998,30.833701000119618,0.23227132579650567,278,0,0,97,0.967139175257732,0
5.80245,7,0,0,0.0,29.719542000293586,1.1870289999933448,29.74126500021157,0.23143881208397332,279,0,0,97,0.9716494845360825,0
5.8332,7,0,0,0.0,30.723078999926656,1.1459729998932744,30.74656499984485,0.23061224489795917,280,0,0,98,0.9661989795918368,0
5.86367,7,0,0,0.0,30.443009000009624,1.2047240002175386,30.462504999832163,0.2297915607524148,281,0,0,98,0.9706632653061225,0
5.8941,7,0,0,0.0,30.411094000101002,1.1949820000154432,30.43012300031478,0.22897669706180346,282,0,0,98,0.9751275510204082,0
5.95029,8,1,121,25.49980100002358,30.636222999874008,1.2538179998955457,56.17619999975432,0.2712014134275619,283,0,0,107,0.9684579439252337,0
5.98028,8,0,0,0.0,29.94715399972847,1.2585650001710746,29.98387300021932,0.2702464788732394,284,0,0,94,0.9647606382978723,0
6.01018,7,0,0,0.0,29.88257600009092,1.1386099999981525,29.900796000219998,0.27268170426065164,285,0,0,94,0.9694148936170213,0
6.04103,7,0,0,0.0,30.822191999959614,1.2071359997207765,30.84308899997268,0.27172827172827174,286,0,0,95,0.9638157894736842,0
6.07173,7,0,0,0.0,30.675072000121872,1.211416000387544,30.69379399994432,0.2707814833250374,287,0,0,95,0.968421052631579,0
6.10264,7,0,0,0.0,30.88442500029487,1.22125000007145,30.904582999937702,0.2698412698412699,288,0,0,96,0.962890625,0
6.13335,7,0,0,0.0,30.68996599995444,1.181233000352222,30.710005999935674,0.26890756302521013,289,0,0,97,0.9574742268041238,0
6.1641,7,0,0,0.0,30.720241999915743,1.1681410001074255,30.740436000087357,0.2679802955665025,290,0,0,98,0.9521683673469388,0
6.19484,7,0,0,0.0,30.719560999841633,1.201765000132582,30.737395999949513,0.2670594010800197,291,0,0,98,0.9566326530612245,0
6.22563,7,0,0,0.0,30.769173999942723,1.200021999920864,30.787609000071825,0.26614481409001955,292,0,0,98,0.9610969387755102,0
6.25643,7,0,0,0.0,30.77186200016513,1.1876310004481638,30.795262000083312,0.265236470014627,293,0,0,98,0.9655612244897959,0
6.28744,7,0,0,0.0,30.9808370002429,1.174225999875489,31.002731999706157,0.2643343051506317,294,0,0,98,0.9700255102040817,0
6.31745,7,0,0,0.0,29.981424000197876,1.1691419999806385,30.00243099995714,0.26343825665859566,295,0,0,98,0.9744897959183674,0
6.3476,7,0,0,0.0,30.12589099989782,1.1831589999928838,30.147879000196554,0.2625482625482626,296,0,0,99,0.9690656565656566,0
6.37743,7,0,0,0.0,29.79866800023956,1.1884639998243074,29.82515100029559,0.2616642616642617,297,0,0,83,0.9713855421686747,0
6.43269,7,1,142,25.479377999999997,29.73450799981947,1.1570269998628646,55.25606399987737,0.3135186960690316,298,0,0,76,0.9728618421052632,0
6.46225,6,0,0,0.0,29.53421900019748,1.0288380003657949,29.56359900008465,0.3405797101449275,299,0,0,76,0.977796052631579,0
6.49185,6,0,0,0.0,29.56358800020098,1.0430520001136756,29.58574900003441,0.33944444444444444,300,0,0,78,0.9575320512820513,0
6.52165,6,0,0,0.0,29.77187300029982,1.0503670000616694,29.789462000280764,0.3383167220376523,301,0,0,78,0.9623397435897436,0
6.55145,6,0,0,0.0,29.779559999951744,1.0240909996355185,29.797735000101966,0.33719646799117,302,0,0,78,0.9671474358974359,0
6.58033,6,0,0,0.0,28.84933900031683,1.0190360003434762,28.867184999853635,0.33608360836083606,303,0,0,78,0.9719551282051282,0
6.6101,6,0,0,0.0,29.738247000295814,1.086258000214002,29.758691000097315,0.33497807017543857,304,0,0,79,0.9643987341772152,0
6.63967,6,0,0,0.0,29.55135899992456,1.062639999872772,29.570898999736528,0.333879781420765,305,0,0,80,0.95703125,0
6.66929,6,0,0,0.0,29.59524000016245,1.0381560000496393,29.614677000154188,0.33278867102396514,306,0,0,81,0.9498456790123457,0
6.72384,7,1,121,24.830000999827462,29.67562399999224,1.1434759999247035,54.53886199984481,0.3708701721731038,307,0,0,89,0.9543539325842697,0
6.75397,7,0,0,0.0,30.108799999652547,1.1545000002115557,30.12734599997202,0.36966604823747684,308,0,0,89,0.9592696629213483,0
6.80975,8,1,83,25.13846099964212,30.600307999975485,1.2676330002250324,55.773071000203345,0.41383495145631066,309,0,0,95,0.9585526315789473,0
6.8403,8,0,0,0.0,30.52163299980748,1.2674280001192528,30.54287699978886,0.4125,310,0,0,95,0.9638157894736842,0
6.8699,8,0,0,0.0,29.579663000276923,1.2381510000523122,29.599641999993764,0.4111736334405145,311,0,0,95,0.969078947368421,0
6.8999,8,0,0,0.0,29.964832999667124,1.2487659996622824,29.985879999912868,0.4098557692307693,312,0,0,96,0.9641927083333334,0
6.93042,8,0,0,0.0,30.4953029999524,1.2485509996622568,30.519207999986975,0.4085463258785943,313,0,0,96,0.9694010416666666,0
6.96078,8,0,0,0.0,30.333922999943752,1.2491360002968577,30.35531199975594,0.40724522292993626,314,0,0,97,0.9645618556701031,0
6.99059,8,0,0,0.0,29.785338999772648,1.257831999737391,29.80337700000746,0.40595238095238095,315,0,0,97,0.9697164948453608,0
7.02058,8,0,0,0.0,29.963067000153387,1.243525999598205,29.98442599982809,0.40466772151898733,316,0,0,99,0.9551767676767676,0
7.05058,8,0,0,0.0,29.968502999963675,1.2311780001255102,29.99499299994568,0.40339116719242907,317,0,0,81,0.9591049382716049,0
7.08074,7,0,0,0.0,30.139581999719667,1.1213049997422786,30.157990000134305,0.4415992812219227,318,0,0,81,0.9645061728395061,0
7.11046,7,0,0,0.0,29.697808000037185,1.149853999777406,29.716897000071185,0.44021495745633676,319,0,0,81,0.9699074074074074,0
7.1673,8,1,172,25.960912000300596,30.836300999908417,1.2062269997841213,56.83658700036176,0.441796875,320,0,0,93,0.9657258064516129,0
7.22387,9,1,255,25.64289900010408,30.864977999954135,1.4008670000293932,56.55708099993717,0.41433021806853587,321,0,0,100,0.963125,0
7.25464,8,0,0,0.0,30.736966999938886,1.287598000089929,30.761852000068757,0.4017857142857143,322,0,0,102,0.9491421568627451,0
7.28502,8,0,0,0.0,30.35509400024239,1.306358999954682,30.37574800009679,0.40054179566563464,323,0,0,102,0.9540441176470589,0
7.31647,8,0,0,0.0,31.42310700013695,1.2906459996884223,31.448513999748684,0.3993055555555556,324,0,0,103,0.9496359223300971,0
7.34789,8,0,0,0.0,31.39239100028135,1.3062530001661798,31.41620199994577,0.3980769230769231,325,0,0,103,0.9544902912621359,0
